Adult Mortality,BMI,HIV/AIDS,GDP,Income composition of resources,Schooling,Diphtheria,thinness  1-19 years,Life expectancy
263.0,19.1,0.1,584.25921,0.479,10.1,65.0,17.2,65.0
271.0,18.6,0.1,612.696514,0.476,10.0,62.0,17.5,59.9
268.0,18.1,0.1,631.744976,0.47,9.9,64.0,17.7,59.9
272.0,17.6,0.1,669.959,0.463,9.8,67.0,17.9,59.5
275.0,17.2,0.1,63.537231,0.454,9.5,68.0,18.2,59.2
279.0,16.7,0.1,553.32894,0.448,9.2,66.0,18.4,58.8
281.0,16.2,0.1,445.8932979,0.434,8.9,63.0,18.6,58.6
287.0,15.7,0.1,373.3611163,0.433,8.7,64.0,18.8,58.1
295.0,15.2,0.1,369.835796,0.415,8.4,63.0,19.0,57.5
295.0,14.7,0.1,272.56377,0.405,8.1,58.0,19.2,57.3
291.0,14.2,0.1,25.2941299,0.396,7.9,58.0,19.3,57.3
293.0,13.8,0.1,219.1413528,0.381,6.8,5.0,19.5,57.0
295.0,13.4,0.1,198.7285436,0.373,6.5,41.0,19.7,56.7
3.0,13.0,0.1,187.84595,0.341,6.2,36.0,19.9,56.2
316.0,12.6,0.1,117.49698,0.34,5.9,33.0,2.1,55.3
321.0,12.2,0.1,114.56,0.338,5.5,24.0,2.3,54.8
74.0,58.0,0.1,3954.22783,0.762,14.2,99.0,1.2,77.8
8.0,57.2,0.1,4575.763787,0.761,14.2,98.0,1.2,77.5
84.0,56.5,0.1,4414.72314,0.759,14.2,99.0,1.3,77.2
86.0,55.8,0.1,4247.61438,0.752,14.2,99.0,1.3,76.9
88.0,55.1,0.1,4437.17868,0.738,13.3,99.0,1.4,76.6
91.0,54.3,0.1,494.358832,0.725,12.5,99.0,1.4,76.2
91.0,53.5,0.1,4114.136545,0.721,12.2,98.0,1.5,76.1
1.0,52.6,0.1,437.539647,0.713,12.0,99.0,1.6,75.3
9.0,51.7,0.1,363.13685,0.703,11.6,98.0,1.6,75.9
99.0,5.8,0.1,35.1293,0.696,11.4,97.0,1.7,74.2
15.0,49.9,0.1,279.142931,0.685,10.8,98.0,1.8,73.5
17.0,48.9,0.1,2416.588235,0.681,10.9,97.0,1.8,73.0
18.0,47.9,0.1,189.681557,0.674,10.7,97.0,1.9,72.8
15.0,46.9,0.1,1453.642777,0.67,10.7,98.0,2.0,73.3
14.0,46.0,0.1,1326.97339,0.662,10.6,97.0,2.1,73.6
11.0,45.0,0.1,1175.788981,0.656,10.7,97.0,2.1,72.6
19.0,59.5,0.1,4132.76292,0.743,14.4,95.0,6.0,75.6
11.0,58.4,0.1,547.8517,0.741,14.4,95.0,6.0,75.4
112.0,57.2,0.1,5471.866766,0.737,14.4,95.0,5.9,75.3
113.0,56.1,0.1,5564.82566,0.732,14.4,95.0,5.9,75.1
116.0,55.0,0.1,5432.2523,0.724,14.0,95.0,5.9,74.9
119.0,53.9,0.1,4463.394675,0.714,13.6,95.0,5.9,74.7
123.0,52.8,0.1,3868.83123,0.705,13.1,95.0,6.0,74.4
126.0,51.8,0.1,495.254866,0.697,12.6,93.0,6.0,74.1
129.0,5.8,0.1,3935.183343,0.69,12.3,95.0,6.0,73.8
132.0,49.8,0.1,3464.6179,0.686,12.3,95.0,6.1,73.4
136.0,48.9,0.1,31.122378,0.68,12.0,88.0,6.1,72.9
14.0,47.9,0.1,2598.9823,0.673,11.7,86.0,6.2,72.3
146.0,47.0,0.1,294.33556,0.663,11.5,87.0,6.3,71.7
145.0,46.1,0.1,1774.33673,0.653,11.1,86.0,6.3,71.6
145.0,45.3,0.1,1732.857979,0.644,10.9,89.0,6.4,71.4
145.0,44.4,0.1,1757.17797,0.636,10.7,86.0,6.5,71.3
